"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"3 to 3470","Range of Values",1553,1553,NA
".","Missing",7785,9338,NA
