"LBCTC2LA.Code.or.Value","LBCTC2LA.Value.Description","LBCTC2LA.Count","LBCTC2LA.Cumulative","LBCTC2LA.Skip.to.Item"
"0.669 to 14.7","Range of Values",246,246,NA
".","Missing",18,264,NA
