"WTSCI09.Code.or.Value","WTSCI09.Value.Description","WTSCI09.Count","WTSCI09.Cumulative","WTSCI09.Skip.to.Item"
"0 to 459322.52245","Range of Values",727,727,NA
".","Missing",51,778,NA
