"OSD030ce.Code.or.Value","OSD030ce.Value.Description","OSD030ce.Count","OSD030ce.Cumulative","OSD030ce.Skip.to.Item"
"44","44",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",2,3,NA
".","Missing",4976,4979,NA
