"OSD030cb.Code.or.Value","OSD030cb.Value.Description","OSD030cb.Count","OSD030cb.Cumulative","OSD030cb.Skip.to.Item"
"13 to 71","Range of Values",12,12,NA
"80","80 or older",0,12,NA
"77777","Refused",0,12,NA
"99999","Don't know",0,12,NA
".","Missing",6206,6218,NA
