"DUQ300.Code.or.Value","DUQ300.Value.Description","DUQ300.Count","DUQ300.Cumulative","DUQ300.Skip.to.Item"
"9 to 45","Range of Values",123,123,NA
"777","Refused",2,125,NA
"999","Don't know",0,125,NA
".","Missing",5177,5302,NA
