"MPQ120n.Code.or.Value","MPQ120n.Value.Description","MPQ120n.Count","MPQ120n.Cumulative","MPQ120n.Skip.to.Item"
"23","Lower back - left",429,429,NA
".","Missing",4982,5411,NA
