"SLQ050.Code.or.Value","SLQ050.Value.Description","SLQ050.Count","SLQ050.Cumulative","SLQ050.Skip.to.Item"
"1","Yes",1380,1380,NA
"2","No",4792,6172,NA
"7","Refused",2,6174,NA
"9","Don't know",0,6174,NA
".","Missing",1,6175,NA
