"LBDPFDOL.Code.or.Value","LBDPFDOL.Value.Description","LBDPFDOL.Count","LBDPFDOL.Cumulative","LBDPFDOL.Skip.to.Item"
"0","At or above the detection limit",367,367,NA
"1","Below lower detection limit",1801,2168,NA
".","Missing",171,2339,NA
