"LBDIM3LC.Code.or.Value","LBDIM3LC.Value.Description","LBDIM3LC.Count","LBDIM3LC.Cumulative","LBDIM3LC.Skip.to.Item"
"0","At or above the detection limit",634,634,NA
"1","Below lower detection limit",6742,7376,NA
"2","Above upper detection limit",0,7376,NA
".","Missing",2064,9440,NA
