"AUDTYL27.Code.or.Value","AUDTYL27.Value.Description","AUDTYL27.Count","AUDTYL27.Cumulative","AUDTYL27.Skip.to.Item"
"0 to 1.47","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
