"MCQ267D.Code.or.Value","MCQ267D.Value.Description","MCQ267D.Count","MCQ267D.Cumulative","MCQ267D.Skip.to.Item"
"4","Brother",122,122,NA
"7","Refused",0,122,NA
"9","Don't know",0,122,NA
".","Missing",9523,9645,NA
