"LEDARMCF.Code.or.Value","LEDARMCF.Value.Description","LEDARMCF.Count","LEDARMCF.Cumulative","LEDARMCF.Skip.to.Item"
"1","9 cm",20,20,NA
"2","10 cm",37,57,NA
"3","12 cm",2066,2123,NA
"4","15 cm",429,2552,NA
"5","18 cm",91,2643,NA
"8","Could not obtain",0,2643,NA
".","Missing",232,2875,NA
