"TYXP117.Code.or.Value","TYXP117.Value.Description","TYXP117.Count","TYXP117.Cumulative","TYXP117.Skip.to.Item"
"-288 to 110","Range of Values",5390,5390,NA
".","Missing",195,5585,NA
