"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"2359.373828 to 186295.50665","Range of Values",10149,10149,NA
".","Missing",0,10149,NA
