"URX4FP.Code.or.Value","URX4FP.Value.Description","URX4FP.Count","URX4FP.Cumulative","URX4FP.Skip.to.Item"
"0.07 to 52.3","Range of Values",2428,2428,NA
".","Missing",77,2505,NA
