"DR2IP226.Code.or.Value","DR2IP226.Value.Description","DR2IP226.Count","DR2IP226.Cumulative","DR2IP226.Skip.to.Item"
"0 to 3.457","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
