"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",10,10,NA
"2","Years",124,134,NA
"7","Refused",0,134,NA
"9","Don't know",0,134,NA
".","Missing",9359,9493,NA
