"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"27.1 to 36.6","Range of Values",8147,8147,NA
".","Missing",1018,9165,NA
