"OPXSGLAU.Code.or.Value","OPXSGLAU.Value.Description","OPXSGLAU.Count","OPXSGLAU.Cumulative","OPXSGLAU.Skip.to.Item"
"0","No",276,276,NA
"1","Possible",56,332,NA
"2","Probable",42,374,NA
"3","Definite",33,407,NA
"4","Ungradable",7,414,NA
".","Missing",3449,3863,NA
