"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"51 to 421","Range of Values",3172,3172,NA
".","Missing",157,3329,NA
