"URDNO3LC.Code.or.Value","URDNO3LC.Value.Description","URDNO3LC.Count","URDNO3LC.Cumulative","URDNO3LC.Skip.to.Item"
"0","At or above the detection limit",2354,2354,NA
"1","Below lower detection limit",2,2356,NA
".","Missing",106,2462,NA
