"DRD350EQ.Code.or.Value","DRD350EQ.Value.Description","DRD350EQ.Count","DRD350EQ.Cumulative","DRD350EQ.Skip.to.Item"
"1 to 12","Range of Values",158,158,NA
".","Missing",9604,9762,NA
