"LB2HDL.Code.or.Value","LB2HDL.Value.Description","LB2HDL.Count","LB2HDL.Cumulative","LB2HDL.Skip.to.Item"
"22 to 110","Range of Values",542,542,NA
".","Missing",2,544,NA
