"PFQ061N.Code.or.Value","PFQ061N.Value.Description","PFQ061N.Count","PFQ061N.Cumulative","PFQ061N.Skip.to.Item"
"1","No difficulty",1636,1636,NA
"2","Some difficulty",382,2018,NA
"3","Much difficulty",87,2105,NA
"4","Unable to do",39,2144,NA
"5","Do not do this activity",8,2152,NA
"7","Refused",0,2152,NA
"9","Don't know",1,2153,NA
".","Missing",7669,9822,NA
