"DR2IS120.Code.or.Value","DR2IS120.Value.Description","DR2IS120.Count","DR2IS120.Cumulative","DR2IS120.Skip.to.Item"
"0 to 54.255","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
