"URDMPBLC.Code.or.Value","URDMPBLC.Value.Description","URDMPBLC.Count","URDMPBLC.Cumulative","URDMPBLC.Skip.to.Item"
"0","At or above the detection limit",2595,2595,NA
"1","Below lower detection limit",9,2604,NA
".","Missing",114,2718,NA
