"SSPFHP.Code.or.Value","SSPFHP.Value.Description","SSPFHP.Count","SSPFHP.Cumulative","SSPFHP.Skip.to.Item"
"0.07 to 0.3","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
