"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"11.5 to 26.4","Range of Values",8117,8117,NA
".","Missing",1048,9165,NA
