"GTDDR2MN.Code.or.Value","GTDDR2MN.Value.Description","GTDDR2MN.Count","GTDDR2MN.Cumulative","GTDDR2MN.Skip.to.Item"
"92 to 145","Range of Values",2287,2287,NA
".","Missing",528,2815,NA
