"PAQ690j.Code.or.Value","PAQ690j.Value.Description","PAQ690j.Count","PAQ690j.Cumulative","PAQ690j.Skip.to.Item"
"19","Used buses, trains, or subways",12,12,NA
".","Missing",6877,6889,NA
