"WBXA104.Code.or.Value","WBXA104.Value.Description","WBXA104.Count","WBXA104.Cumulative","WBXA104.Skip.to.Item"
"-59.6207 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
