"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"4 to 4000","Range of Values",1625,1625,NA
".","Missing",8188,9813,NA
