"PAXSTS.Code.or.Value","PAXSTS.Value.Description","PAXSTS.Count","PAXSTS.Cumulative","PAXSTS.Skip.to.Item"
"1","Yes",7776,7776,NA
"2","No",1137,8913,NA
".","Missing",0,8913,NA
