"AUXLR171.Code.or.Value","AUXLR171.Value.Description","AUXLR171.Count","AUXLR171.Cumulative","AUXLR171.Skip.to.Item"
"-27 to 63","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
