"DXXPT10Y.Code.or.Value","DXXPT10Y.Value.Description","DXXPT10Y.Count","DXXPT10Y.Cumulative","DXXPT10Y.Skip.to.Item"
"184.2 to 428.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
