"URXMSM.Code.or.Value","URXMSM.Value.Description","URXMSM.Count","URXMSM.Cumulative","URXMSM.Skip.to.Item"
"0.035 to 0.035","Range of Values",2427,2427,NA
".","Missing",185,2612,NA
