"MCQ240U.Code.or.Value","MCQ240U.Value.Description","MCQ240U.Count","MCQ240U.Cumulative","MCQ240U.Skip.to.Item"
"9 to 83","Range of Values",59,59,NA
"85","85 years or older",3,62,NA
"77777","Refused",0,62,NA
"99999","Don't know",0,62,NA
".","Missing",9760,9822,NA
