"WBXP094.Code.or.Value","WBXP094.Value.Description","WBXP094.Count","WBXP094.Cumulative","WBXP094.Skip.to.Item"
"-176.5367 to 146.3411","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
