"AUXRR266.Code.or.Value","AUXRR266.Value.Description","AUXRR266.Count","AUXRR266.Cumulative","AUXRR266.Skip.to.Item"
"-18 to 76","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
