"LBCPDE.Code.or.Value","LBCPDE.Value.Description","LBCPDE.Count","LBCPDE.Cumulative","LBCPDE.Skip.to.Item"
"147.9 to 18720","Range of Values",284,284,NA
".","Missing",0,284,NA
