"WTSPP39.Code.or.Value","WTSPP39.Value.Description","WTSPP39.Count","WTSPP39.Cumulative","WTSPP39.Skip.to.Item"
"0 to 837556.07428","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
