"BPAARM.Code.or.Value","BPAARM.Value.Description","BPAARM.Count","BPAARM.Cumulative","BPAARM.Skip.to.Item"
"1","Right",7356,7356,NA
"2","Left",37,7393,NA
"8","Could not obtain",62,7455,NA
".","Missing",2495,9950,NA
