"DRD370Q.Code.or.Value","DRD370Q.Value.Description","DRD370Q.Count","DRD370Q.Cumulative","DRD370Q.Skip.to.Item"
"1","Yes",66,66,""
"2","No",5505,5571,"DRD370R"
".","Missing",4379,9950,""
