"URDCPMLC.Code.or.Value","URDCPMLC.Value.Description","URDCPMLC.Count","URDCPMLC.Cumulative","URDCPMLC.Skip.to.Item"
"0","detectable result",2368,2368,NA
"1","below detectable limit",643,3011,NA
".","Missing",141,3152,NA
