"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",260,260,""
"2","No",5505,5765,"HSQ590"
"7","Refused",0,5765,"HSQ590"
"9","Don't know",4,5769,"HSQ590"
".","Missing",3653,9422,""
