"DSDDAY2.Code.or.Value","DSDDAY2.Value.Description","DSDDAY2.Count","DSDDAY2.Cumulative","DSDDAY2.Skip.to.Item"
"1","Yes",4577,4577,NA
"2","No",1992,6569,NA
"7","Refused",0,6569,NA
"9","Don't know",6,6575,NA
".","Missing",2984,9559,NA
