"RFXT120.Code.or.Value","RFXT120.Value.Description","RFXT120.Count","RFXT120.Cumulative","RFXT120.Skip.to.Item"
"1044 to 1052","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
