"OPDSRDET.Code.or.Value","OPDSRDET.Value.Description","OPDSRDET.Count","OPDSRDET.Cumulative","OPDSRDET.Skip.to.Item"
"0","No",3213,3213,NA
"1","Questionable",1,3214,NA
"2","Yes",3,3217,NA
"3","Yes, in center",0,3217,NA
".","Missing",646,3863,NA
