"DUQ280.Code.or.Value","DUQ280.Value.Description","DUQ280.Count","DUQ280.Cumulative","DUQ280.Skip.to.Item"
"1 to 30","Range of Values",59,59,NA
"777","Refused",0,59,NA
"999","Don't know",0,59,NA
".","Missing",4784,4843,NA
