"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 18.773","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
