"CKQ040.Code.or.Value","CKQ040.Value.Description","CKQ040.Count","CKQ040.Cumulative","CKQ040.Skip.to.Item"
"1","Yes",269,269,NA
"2","No",161,430,NA
"7","Refused",0,430,NA
"9","Don't know",0,430,NA
".","Missing",6549,6979,NA
