"RFXC159.Code.or.Value","RFXC159.Value.Description","RFXC159.Count","RFXC159.Cumulative","RFXC159.Skip.to.Item"
"-7.577 to 7.13","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
