"LBDF07LC.Code.or.Value","LBDF07LC.Value.Description","LBDF07LC.Count","LBDF07LC.Cumulative","LBDF07LC.Skip.to.Item"
"0","At or above the detection limit",107,107,NA
"1","Below lower detection limit",139,246,NA
".","Missing",18,264,NA
