"DXXPT4X.Code.or.Value","DXXPT4X.Value.Description","DXXPT4X.Count","DXXPT4X.Cumulative","DXXPT4X.Skip.to.Item"
"732.6 to 1268.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
