"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 88200","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
