"WBXF095.Code.or.Value","WBXF095.Value.Description","WBXF095.Count","WBXF095.Cumulative","WBXF095.Skip.to.Item"
"5656.8542 to 5656.8542","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
