"SSGHC.Code.or.Value","SSGHC.Value.Description","SSGHC.Count","SSGHC.Cumulative","SSGHC.Skip.to.Item"
"0.4 to 13.8","Range of Values",78,78,NA
".","Missing",0,78,NA
