"LBXSSE.Code.or.Value","LBXSSE.Value.Description","LBXSSE.Count","LBXSSE.Cumulative","LBXSSE.Skip.to.Item"
"70.6 to 299.1","Range of Values",2329,2329,NA
".","Missing",265,2594,NA
