"SMQ666M.Code.or.Value","SMQ666M.Value.Description","SMQ666M.Count","SMQ666M.Cumulative","SMQ666M.Skip.to.Item"
"1","Regulars",75,75,NA
"2","Lights",65,140,NA
"3","Ultralights",4,144,NA
"7","Refused",0,144,NA
"9","Don't know",0,144,NA
".","Missing",6846,6990,NA
