"DR2BWATZ.Code.or.Value","DR2BWATZ.Value.Description","DR2BWATZ.Count","DR2BWATZ.Cumulative","DR2BWATZ.Skip.to.Item"
"0 to 8160","Range of Values",7574,7574,NA
".","Missing",2239,9813,NA
