"PFQ061F.Code.or.Value","PFQ061F.Value.Description","PFQ061F.Count","PFQ061F.Cumulative","PFQ061F.Skip.to.Item"
"1","No difficulty",1632,1632,NA
"2","Some difficulty",486,2118,NA
"3","Much difficulty",154,2272,NA
"4","Unable to do",138,2410,NA
"5","Do not do this activity",158,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
