"DSQISELE.Code.or.Value","DSQISELE.Value.Description","DSQISELE.Count","DSQISELE.Cumulative","DSQISELE.Skip.to.Item"
"0.3 to 2100","Range of Values",1357,1357,NA
".","Missing",8627,9984,NA
