"DS1TVC.Code.or.Value","DS1TVC.Value.Description","DS1TVC.Count","DS1TVC.Cumulative","DS1TVC.Skip.to.Item"
"1.2 to 6000","Range of Values",1868,1868,NA
".","Missing",7945,9813,NA
